ligand_name,target_name,best_affinity,all_affinities,rmsd_lb,rmsd_ub,docked_pdbqt,success,error,runtime_seconds
R_Warfarin_ref,6WV3_chainA_protonated,-6.826,"[np.float64(-6.826), np.float64(-6.543), np.float64(-6.459), np.float64(-6.213), np.float64(-6.154), np.float64(-5.952), np.float64(-5.892), np.float64(-5.617), np.float64(-5.453), np.float64(-5.383), np.float64(-5.007), np.float64(-5.004), np.float64(-4.112), np.float64(-3.983)]",[],[],results/docked_poses/VKORC1_Human/R_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.198861598968506
m_bromo_S,6WV3_chainA_protonated,-5.944,"[np.float64(-5.944), np.float64(-5.695), np.float64(-5.186), np.float64(-5.071), np.float64(-4.197), np.float64(-3.648), np.float64(-3.464), np.float64(-3.339), np.float64(-3.326)]",[],[],results/docked_poses/VKORC1_Human/m_bromo_S_VKORC1_Human_docked.pdbqt,True,,16.072885274887085
m_nitro_S,6WV3_chainA_protonated,-5.914,"[np.float64(-5.914), np.float64(-5.563), np.float64(-3.647), np.float64(-3.546), np.float64(-3.119)]",[],[],results/docked_poses/VKORC1_Human/m_nitro_S_VKORC1_Human_docked.pdbqt,True,,22.910077571868896
BENZ_R,6WV3_chainA_protonated,-5.773,"[np.float64(-5.773), np.float64(-5.185), np.float64(-5.122), np.float64(-5.11), np.float64(-4.716), np.float64(-4.652), np.float64(-4.55), np.float64(-4.541), np.float64(-4.457), np.float64(-4.385), np.float64(-4.301), np.float64(-4.247), np.float64(-4.069), np.float64(-3.742), np.float64(-3.57), np.float64(-3.547), np.float64(-3.019)]",[],[],results/docked_poses/VKORC1_Human/BENZ_R_VKORC1_Human_docked.pdbqt,True,,16.709562301635742
m_bromo_R,6WV3_chainA_protonated,-5.66,"[np.float64(-5.66), np.float64(-5.516), np.float64(-4.714), np.float64(-4.522), np.float64(-4.521), np.float64(-3.959), np.float64(-3.888), np.float64(-3.178), np.float64(-2.913)]",[],[],results/docked_poses/VKORC1_Human/m_bromo_R_VKORC1_Human_docked.pdbqt,True,,22.289884090423584
BENZ_S,6WV3_chainA_protonated,-5.523,"[np.float64(-5.523), np.float64(-5.207), np.float64(-5.151), np.float64(-4.762), np.float64(-4.703), np.float64(-4.136), np.float64(-4.11), np.float64(-4.047), np.float64(-3.969), np.float64(-3.914), np.float64(-3.752), np.float64(-3.17), np.float64(-3.141), np.float64(-3.088), np.float64(-2.547)]",[],[],results/docked_poses/VKORC1_Human/BENZ_S_VKORC1_Human_docked.pdbqt,True,,17.36383032798767
S_Warfarin_ref,6WV3_chainA_protonated,-5.254,"[np.float64(-5.254), np.float64(-5.09), np.float64(-4.863), np.float64(-4.683), np.float64(-4.546), np.float64(-4.19), np.float64(-4.087), np.float64(-4.035), np.float64(-4.034), np.float64(-3.901), np.float64(-3.638), np.float64(-3.599), np.float64(-3.204), np.float64(-2.857), np.float64(-2.699)]",[],[],results/docked_poses/VKORC1_Human/S_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,19.278109550476074
m_nitro_R,6WV3_chainA_protonated,-4.433,"[np.float64(-4.433), np.float64(-4.298), np.float64(-4.1), np.float64(-3.614), np.float64(-3.563), np.float64(-3.531), np.float64(-3.513), np.float64(-3.499), np.float64(-3.041), np.float64(-2.971), np.float64(-2.684), np.float64(-2.244), np.float64(-2.162), np.float64(-1.756)]",[],[],results/docked_poses/VKORC1_Human/m_nitro_R_VKORC1_Human_docked.pdbqt,True,,30.517480611801147
