ligand_name,target_name,best_affinity,all_affinities,docked_pdbqt,success,error,runtime_seconds,run_label,seed,is_active
active_4hydroxycoumarin,VKORC1_Human,-7.381,"[-7.381, -7.353, -7.125, -6.923, -6.756, -6.578, -6.547, -6.476, -6.39]",active_4hydroxycoumarin_VKORC1_Human_docked.pdbqt,True,,8.584627628326416,enrichment_seed42,42,1
decoy_033,VKORC1_Human,-7.375,"[-7.375, -6.868, -6.847, -6.777, -6.727, -6.595, -6.57, -6.491, -6.274]",decoy_033_VKORC1_Human_docked.pdbqt,True,,11.320149421691896,enrichment_seed42,42,0
decoy_041,VKORC1_Human,-7.372,"[-7.372, -7.329, -7.219, -6.649, -6.554, -6.514, -6.389, -6.379, -6.321]",decoy_041_VKORC1_Human_docked.pdbqt,True,,12.446673154830933,enrichment_seed42,42,0
decoy_029,VKORC1_Human,-7.344,"[-7.344, -7.209, -7.2, -6.832, -6.69, -6.687, -6.214, -6.196, -5.996]",decoy_029_VKORC1_Human_docked.pdbqt,True,,9.288580179214478,enrichment_seed42,42,0
decoy_043,VKORC1_Human,-7.327,"[-7.327, -7.257, -7.23, -6.893, -6.809, -6.758, -6.415, -6.323, -6.304]",decoy_043_VKORC1_Human_docked.pdbqt,True,,9.893767595291138,enrichment_seed42,42,0
decoy_009,VKORC1_Human,-7.279,"[-7.279, -7.253, -7.221, -7.149, -7.033, -6.886, -6.744, -6.74, -6.725]",decoy_009_VKORC1_Human_docked.pdbqt,True,,17.574239015579224,enrichment_seed42,42,0
decoy_012,VKORC1_Human,-7.276,"[-7.276, -7.164, -6.99, -6.901, -6.83, -6.818, -6.817, -6.79, -6.506]",decoy_012_VKORC1_Human_docked.pdbqt,True,,13.337353229522703,enrichment_seed42,42,0
decoy_025,VKORC1_Human,-7.263,"[-7.263, -7.249, -7.192, -7.011, -6.869, -6.783, -6.764, -6.74, -6.449]",decoy_025_VKORC1_Human_docked.pdbqt,True,,12.42715311050415,enrichment_seed42,42,0
decoy_022,VKORC1_Human,-7.227,"[-7.227, -7.135, -7.114, -6.964, -6.912, -6.745, -6.654, -6.515, -5.876]",decoy_022_VKORC1_Human_docked.pdbqt,True,,12.63262128829956,enrichment_seed42,42,0
decoy_011,VKORC1_Human,-7.15,"[-7.15, -7.145, -7.09, -6.769, -6.767, -6.74, -6.683, -6.591, -6.571]",decoy_011_VKORC1_Human_docked.pdbqt,True,,12.172727346420288,enrichment_seed42,42,0
decoy_050,VKORC1_Human,-7.045,"[-7.045, -7.012, -6.914, -6.87, -6.863, -6.472, -6.425, -6.386, -6.294]",decoy_050_VKORC1_Human_docked.pdbqt,True,,14.64474081993103,enrichment_seed42,42,0
decoy_045,VKORC1_Human,-7.039,"[-7.039, -7.026, -6.937, -6.682, -6.521, -6.416, -6.317, -6.305, -6.267]",decoy_045_VKORC1_Human_docked.pdbqt,True,,13.710111856460571,enrichment_seed42,42,0
decoy_004,VKORC1_Human,-6.922,"[-6.922, -6.913, -6.841, -6.449, -6.411, -6.319, -6.27, -6.096, -6.077]",decoy_004_VKORC1_Human_docked.pdbqt,True,,13.252474069595335,enrichment_seed42,42,0
decoy_019,VKORC1_Human,-6.895,"[-6.895, -6.848, -6.764, -6.594, -6.513, -6.496, -6.337, -6.25, -6.229]",decoy_019_VKORC1_Human_docked.pdbqt,True,,21.17720079421997,enrichment_seed42,42,0
decoy_039,VKORC1_Human,-6.791,"[-6.791, -6.674, -6.629, -6.594, -6.441, -6.426, -6.403, -6.292, -6.228]",decoy_039_VKORC1_Human_docked.pdbqt,True,,9.96418523788452,enrichment_seed42,42,0
decoy_042,VKORC1_Human,-6.787,"[-6.787, -6.784, -6.699, -6.682, -6.463, -6.179, -6.174, -5.847, -5.746]",decoy_042_VKORC1_Human_docked.pdbqt,True,,11.858599424362184,enrichment_seed42,42,0
decoy_049,VKORC1_Human,-6.749,"[-6.749, -6.606, -6.583, -6.527, -6.044, -6.031, -5.997, -5.976, -5.972]",decoy_049_VKORC1_Human_docked.pdbqt,True,,13.57308030128479,enrichment_seed42,42,0
decoy_003,VKORC1_Human,-6.725,"[-6.725, -6.64, -6.471, -6.434, -5.926, -5.925, -5.761, -5.703, -5.666]",decoy_003_VKORC1_Human_docked.pdbqt,True,,14.238630533218384,enrichment_seed42,42,0
decoy_032,VKORC1_Human,-6.707,"[-6.707, -6.609, -6.252, -5.983, -5.727, -5.701, -5.631, -5.603, -5.568]",decoy_032_VKORC1_Human_docked.pdbqt,True,,15.021924257278442,enrichment_seed42,42,0
decoy_008,VKORC1_Human,-6.703,"[-6.703, -6.684, -6.636, -6.149, -6.059, -5.889, -5.773, -5.712, -5.7]",decoy_008_VKORC1_Human_docked.pdbqt,True,,10.969352960586548,enrichment_seed42,42,0
decoy_048,VKORC1_Human,-6.652,"[-6.652, -6.608, -6.606, -6.414, -6.307, -6.009, -5.976, -5.938, -5.701]",decoy_048_VKORC1_Human_docked.pdbqt,True,,13.301058530807495,enrichment_seed42,42,0
