ligand_name,target_name,best_affinity,all_affinities,rmsd_lb,rmsd_ub,docked_pdbqt,success,error,runtime_seconds
Benzylidene_Bis_Coumarin,1D3D_chainH_protonated,-5.721,"[np.float64(-5.721), np.float64(-5.662), np.float64(-5.462), np.float64(-5.396), np.float64(-5.357), np.float64(-5.335), np.float64(-5.313), np.float64(-5.284), np.float64(-5.266), np.float64(-5.252), np.float64(-5.236), np.float64(-5.217), np.float64(-5.198), np.float64(-5.176), np.float64(-5.172), np.float64(-5.156), np.float64(-5.155), np.float64(-5.139), np.float64(-5.133), np.float64(-5.115)]",[],[],results/docked_poses/Thrombin/Benzylidene_Bis_Coumarin_Thrombin_docked.pdbqt,True,,15.688015937805176
Warfarin1,1D3D_chainH_protonated,-5.114,"[np.float64(-5.114), np.float64(-5.066), np.float64(-5.044), np.float64(-5.03), np.float64(-4.915), np.float64(-4.884), np.float64(-4.728), np.float64(-4.706), np.float64(-4.705), np.float64(-4.704), np.float64(-4.64), np.float64(-4.633), np.float64(-4.541), np.float64(-4.51), np.float64(-4.491), np.float64(-4.448), np.float64(-4.417), np.float64(-4.416), np.float64(-4.414), np.float64(-4.372)]",[],[],results/docked_poses/Thrombin/Warfarin1_Thrombin_docked.pdbqt,True,,7.88127326965332
Acenocoumarol6,1D3D_chainH_protonated,-4.977,"[np.float64(-4.977), np.float64(-4.835), np.float64(-4.792), np.float64(-4.765), np.float64(-4.73), np.float64(-4.67), np.float64(-4.555), np.float64(-4.515), np.float64(-4.512), np.float64(-4.509), np.float64(-4.472), np.float64(-4.461), np.float64(-4.458), np.float64(-4.382), np.float64(-4.358), np.float64(-4.356), np.float64(-4.343), np.float64(-4.312), np.float64(-4.3), np.float64(-4.264)]",[],[],results/docked_poses/Thrombin/Acenocoumarol6_Thrombin_docked.pdbqt,True,,13.242659330368042
