ligand_name,target_name,best_affinity,all_affinities,rmsd_lb,rmsd_ub,docked_pdbqt,success,error,runtime_seconds,Ki_nM,Rank
Acenocoumarol6,1H9Z_chainA_protonated,-5.454,"[np.float64(-5.454), np.float64(-5.391), np.float64(-5.385), np.float64(-5.284), np.float64(-4.94), np.float64(-4.94), np.float64(-4.929), np.float64(-4.91), np.float64(-4.87), np.float64(-4.85), np.float64(-4.783), np.float64(-4.781), np.float64(-4.772), np.float64(-4.772), np.float64(-4.768), np.float64(-4.766), np.float64(-4.742), np.float64(-4.736), np.float64(-4.704)]",[],[],results/docked_poses/HSA/Acenocoumarol6_HSA_docked.pdbqt,True,,17.406883239746094,99946.31015534408,1
Warfarin1,1H9Z_chainA_protonated,-5.409,"[np.float64(-5.409), np.float64(-5.359), np.float64(-5.145), np.float64(-5.107), np.float64(-4.972), np.float64(-4.942), np.float64(-4.903), np.float64(-4.836), np.float64(-4.794), np.float64(-4.747), np.float64(-4.746), np.float64(-4.694), np.float64(-4.688), np.float64(-4.678), np.float64(-4.67), np.float64(-4.649), np.float64(-4.646), np.float64(-4.519), np.float64(-4.516), np.float64(-3.32)]",[],[],results/docked_poses/HSA/Warfarin1_HSA_docked.pdbqt,True,,9.746947050094604,107838.04106108678,2
