ligand_name,target_name,best_affinity,all_affinities,rmsd_lb,rmsd_ub,docked_pdbqt,success,error,runtime_seconds,Ki_nM,Rank
Warfarin1,7LCT_chainA,-5.988,"[np.float64(-5.988), np.float64(-5.78), np.float64(-5.759), np.float64(-5.681), np.float64(-5.636), np.float64(-5.412), np.float64(-5.092), np.float64(-5.08), np.float64(-5.065), np.float64(-5.058), np.float64(-5.048), np.float64(-4.943), np.float64(-4.934), np.float64(-4.905), np.float64(-4.894), np.float64(-4.88), np.float64(-4.869), np.float64(-4.831), np.float64(-4.804)]",[],[],results/docked_poses/VKORC1/Warfarin1_VKORC1_docked.pdbqt,True,,15.712361574172974,40560.636865100925,1
Acenocoumarol6,7LCT_chainA,-5.711,"[np.float64(-5.711), np.float64(-5.377), np.float64(-5.364), np.float64(-5.247), np.float64(-5.105), np.float64(-5.042), np.float64(-5.03), np.float64(-5.001), np.float64(-4.939), np.float64(-4.932), np.float64(-4.926), np.float64(-4.918), np.float64(-4.879), np.float64(-4.781), np.float64(-4.763), np.float64(-4.751), np.float64(-4.702), np.float64(-4.598), np.float64(-4.586)]",[],[],results/docked_poses/VKORC1/Acenocoumarol6_VKORC1_docked.pdbqt,True,,22.06244397163391,64754.5455450849,2
