ligand_name,target_name,best_affinity,all_affinities,docked_pdbqt,success,error,runtime_seconds
RL_Gen_12,VKORC1_Human,-7.374,"[np.float64(-7.374), np.float64(-7.333), np.float64(-7.279), np.float64(-7.251), np.float64(-7.229), np.float64(-7.211), np.float64(-7.114), np.float64(-6.995), np.float64(-6.664), np.float64(-6.478), np.float64(-6.342), np.float64(-6.215), np.float64(-6.179), np.float64(-6.152), np.float64(-6.145), np.float64(-6.138), np.float64(-6.133), np.float64(-6.049), np.float64(-5.994), np.float64(-5.948)]",results/docked_poses/VKORC1_Human/RL_Gen_12_VKORC1_Human_docked.pdbqt,True,,8.030030488967896
RL_Gen_10,VKORC1_Human,-7.293,"[np.float64(-7.293), np.float64(-6.985), np.float64(-6.901), np.float64(-6.702), np.float64(-6.676), np.float64(-6.487), np.float64(-6.443), np.float64(-6.412), np.float64(-6.397), np.float64(-6.268), np.float64(-6.267), np.float64(-6.149), np.float64(-6.072), np.float64(-5.996), np.float64(-5.994), np.float64(-5.971), np.float64(-5.957), np.float64(-5.924), np.float64(-5.804), np.float64(-5.795)]",results/docked_poses/VKORC1_Human/RL_Gen_10_VKORC1_Human_docked.pdbqt,True,,8.392061948776245
RL_Gen_30,VKORC1_Human,-7.264,"[np.float64(-7.264), np.float64(-7.232), np.float64(-7.189), np.float64(-7.179), np.float64(-7.113), np.float64(-7.109), np.float64(-6.993), np.float64(-6.939), np.float64(-6.892), np.float64(-6.661), np.float64(-6.565), np.float64(-6.477), np.float64(-6.45), np.float64(-6.435), np.float64(-6.336), np.float64(-6.257), np.float64(-6.253), np.float64(-6.149), np.float64(-5.929), np.float64(-5.899)]",results/docked_poses/VKORC1_Human/RL_Gen_30_VKORC1_Human_docked.pdbqt,True,,8.752542734146118
RL_Gen_33,VKORC1_Human,-7.098,"[np.float64(-7.098), np.float64(-7.095), np.float64(-7.061), np.float64(-6.968), np.float64(-6.96), np.float64(-6.895), np.float64(-6.867), np.float64(-6.704), np.float64(-6.648), np.float64(-6.639), np.float64(-6.581), np.float64(-6.506), np.float64(-6.412), np.float64(-6.403), np.float64(-6.395), np.float64(-6.353), np.float64(-6.315), np.float64(-6.246), np.float64(-6.238), np.float64(-6.184)]",results/docked_poses/VKORC1_Human/RL_Gen_33_VKORC1_Human_docked.pdbqt,True,,15.010334491729736
RL_Gen_05,VKORC1_Human,-6.619,"[np.float64(-6.619), np.float64(-6.456), np.float64(-6.423), np.float64(-6.414), np.float64(-6.376), np.float64(-6.365), np.float64(-6.349), np.float64(-6.189), np.float64(-6.181), np.float64(-6.09), np.float64(-5.984), np.float64(-5.911), np.float64(-5.831), np.float64(-5.725), np.float64(-5.644), np.float64(-5.625), np.float64(-5.461), np.float64(-5.381), np.float64(-5.136), np.float64(-5.027)]",results/docked_poses/VKORC1_Human/RL_Gen_05_VKORC1_Human_docked.pdbqt,True,,8.048973083496094
RL_Gen_17,VKORC1_Human,-6.511,"[np.float64(-6.511), np.float64(-6.445), np.float64(-6.325), np.float64(-6.299), np.float64(-6.097), np.float64(-5.862), np.float64(-5.83), np.float64(-5.775), np.float64(-5.69), np.float64(-5.67), np.float64(-5.543), np.float64(-5.37), np.float64(-5.317), np.float64(-5.225), np.float64(-5.223), np.float64(-5.141), np.float64(-5.123), np.float64(-4.974), np.float64(-4.932)]",results/docked_poses/VKORC1_Human/RL_Gen_17_VKORC1_Human_docked.pdbqt,True,,7.108442068099976
RL_Gen_09,VKORC1_Human,-6.436,"[np.float64(-6.436), np.float64(-6.423), np.float64(-6.073), np.float64(-6.037), np.float64(-5.916), np.float64(-5.891), np.float64(-5.664), np.float64(-5.566), np.float64(-5.532), np.float64(-5.473), np.float64(-5.468), np.float64(-5.398), np.float64(-5.269), np.float64(-5.165), np.float64(-5.092), np.float64(-4.979), np.float64(-4.79), np.float64(-4.385), np.float64(-4.385), np.float64(-4.339)]",results/docked_poses/VKORC1_Human/RL_Gen_09_VKORC1_Human_docked.pdbqt,True,,6.629866361618042
RL_Gen_01,VKORC1_Human,-6.326,"[np.float64(-6.326), np.float64(-6.318), np.float64(-6.303), np.float64(-6.241), np.float64(-6.18), np.float64(-6.039), np.float64(-6.03), np.float64(-5.998), np.float64(-5.895), np.float64(-5.755), np.float64(-5.729), np.float64(-5.673), np.float64(-5.618), np.float64(-5.079), np.float64(-5.035), np.float64(-4.971), np.float64(-4.957), np.float64(-4.945), np.float64(-4.929), np.float64(-4.878)]",results/docked_poses/VKORC1_Human/RL_Gen_01_VKORC1_Human_docked.pdbqt,True,,8.524908065795898
RL_Gen_42,VKORC1_Human,-6.3,"[-6.3, -6.296, -6.224, -6.18, -6.082, -5.941, -5.884, -5.286, -5.102]",results/docked_poses/VKORC1_Human/RL_Gen_42_VKORC1_Human_docked.pdbqt,True,,13.066319704055786
RL_Gen_04,VKORC1_Human,-6.102,"[np.float64(-6.102), np.float64(-6.069), np.float64(-5.923), np.float64(-5.907), np.float64(-5.634), np.float64(-5.633), np.float64(-5.625), np.float64(-5.398), np.float64(-5.339), np.float64(-5.307), np.float64(-5.216), np.float64(-5.167), np.float64(-5.003), np.float64(-4.827), np.float64(-4.804), np.float64(-4.795), np.float64(-4.781), np.float64(-4.768), np.float64(-4.458), np.float64(-4.41)]",results/docked_poses/VKORC1_Human/RL_Gen_04_VKORC1_Human_docked.pdbqt,True,,7.727430820465088
RL_Gen_02,VKORC1_Human,-6.057,"[np.float64(-6.057), np.float64(-5.868), np.float64(-5.82), np.float64(-5.786), np.float64(-5.784), np.float64(-5.656), np.float64(-5.539), np.float64(-5.513), np.float64(-5.383), np.float64(-5.371), np.float64(-5.307), np.float64(-5.221), np.float64(-5.198), np.float64(-5.16), np.float64(-5.138), np.float64(-5.113), np.float64(-5.081), np.float64(-4.942), np.float64(-4.903), np.float64(-4.863)]",results/docked_poses/VKORC1_Human/RL_Gen_02_VKORC1_Human_docked.pdbqt,True,,6.084025144577026
RL_Gen_06,VKORC1_Human,-5.58,"[np.float64(-5.58), np.float64(-5.526), np.float64(-5.523), np.float64(-5.377), np.float64(-5.352), np.float64(-5.346), np.float64(-5.302), np.float64(-5.283), np.float64(-5.28), np.float64(-5.271), np.float64(-5.244), np.float64(-5.207), np.float64(-5.197), np.float64(-5.181), np.float64(-5.146), np.float64(-5.136), np.float64(-4.877), np.float64(-4.559), np.float64(-4.282), np.float64(-4.171)]",results/docked_poses/VKORC1_Human/RL_Gen_06_VKORC1_Human_docked.pdbqt,True,,5.514686584472656
