canonical_smiles,is_coumarin,Factor_XIIa_pIC50,Factor_Xa_pIC50,Thrombin_pIC50,VKORC1_pIC50
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(NN)c1,False,,4.958607314841775,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cc(Br)ccc1N,False,,4.958607314841775,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cc(Br)ccc1[N+](=O)[O-],False,,5.5376020021010435,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1ccc(F)c(C(=N)N)c1,False,,9.1249387366083,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1ccc2ccnc(N)c2c1,False,,8.154901959985743,5.318758762624412,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)N)c1,False,,9.301029995663981,6.298432014944073,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)NN)c1,False,,7.2441251443275085,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)NO)c1,False,,5.928117992693875,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1C(N)=O)c1ccc2ccnc(N)c2c1,False,,5.958607314841775,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1ccc(F)c(C(=N)N)c1,False,,9.130768280269024,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1ccc2ccnc(N)c2c1,False,,7.958607314841775,5.267606240177032,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1cccc(C(=N)N)c1,False,,9.301029995663981,6.187086643357144,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1cccc(C(=N)NN)c1,False,,7.3872161432802645,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1cccc(C(=N)NO)c1,False,,6.1249387366083,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cc(C(=N)N)ccc1N,False,,8.585026652029182,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cc(C(=N)N)ccc1[N+](=O)[O-],False,,7.823908740944319,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1ccc(F)c(C(=N)N)c1,False,,8.823908740944319,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1ccc2ccnc(N)c2c1,False,,8.301029995663981,5.200659450546418,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cccc(C(=N)N)c1,False,,9.698970004336019,5.657577319177793,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cccc(C(=N)NN)c1,False,,6.958607314841775,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cccc(C(=N)NO)c1,False,,5.798602875679548,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cccc(C(=N)S)c1,False,,6.853871964321762,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cn1)c1ccc2ccnc(N)c2c1,False,,7.853871964321762,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccnc(C(N)=O)c2)cc1)c1ccc2ccnc(N)c2c1,False,,5.823908740944319,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccncc2S(C)(=O)=O)cc1)c1ccc2ccnc(N)c2c1,False,,8.154901959985743,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccncc2[S+](C)[O-])cc1F)c1ccc2ccnc(N)c2c1,False,,5.823908740944319,,
C/C(=C/C(=O)N1CCN(C)CC1)C(=O)O,False,,,4.301029995663981,
C/C(=C/C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1,False,,8.397940008672037,,
C/C(=C/c1cccc(C(=N)N)c1)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1,False,,6.441291429466834,,
C/C(=C1\CC(=O)N(c2ccc(-c3ccccc3S(N)(=O)=O)cc2)C1=O)c1cccc(C(=N)N)c1,False,,8.698970004336019,6.173925197299173,
C/C(=C1\CC(=O)N(c2ccc(-c3ccccc3S(N)(=O)=O)cc2)C1=O)c1cccc(C(=N)NN)c1,False,,7.107905397309519,,
C/C(=C1\CC(=O)N(c2ccc(-c3ccccc3S(N)(=O)=O)cc2)C1=O)c1cccc(C(=N)NO)c1,False,,6.1487416512809245,,
C/C(=C1\CC(=O)N(c2ccc(C(=O)N3CCCC3)cc2)C1=O)c1cccc(C(=N)N)c1,False,,6.7447274948966935,4.97061622231479,
C/C(=C1\CC(=O)N(c2ccc(C(C)(C)C)cc2)C1=O)c1cccc(C(=N)N)c1,False,,7.5376020021010435,7.119186407719209,
C/C(=C\C(=O)O)c1ccc2c(C)cc(Oc3ccc(C(=N)N)cc3)nc2c1,False,,,6.221848749616356,
C/C(=C\c1ccccc1)C(=O)n1nnc2ccccc21,False,5.0227223468782505,,6.072496186349151,
C/C(=N\NC(=O)CCn1nnc2ccccc21)c1cccs1,False,4.301029995663981,,,
C/C(=N\NC(=O)c1cccc(N/N=C(\C)c2ccccc2)c1)c1ccccc1,False,4.301029995663981,,,
C/C(=N\NC(=S)NC1CCCCC1)c1cccc(Br)c1,False,,,4.301029995663981,
