ligand_name,target_name,best_affinity,all_affinities,rmsd_lb,rmsd_ub,docked_pdbqt,success,error,runtime_seconds
Benzylidene_Bis_Coumarin,1OG5_chainA_protonated,-10.863,"[np.float64(-10.863), np.float64(-10.497), np.float64(-10.485), np.float64(-10.397), np.float64(-10.374), np.float64(-10.365), np.float64(-10.255), np.float64(-10.216), np.float64(-10.122), np.float64(-9.926), np.float64(-9.901), np.float64(-9.866), np.float64(-9.782), np.float64(-9.754), np.float64(-9.644), np.float64(-9.638), np.float64(-9.457), np.float64(-9.298), np.float64(-9.245), np.float64(-9.096)]",[],[],results/docked_poses/CYP2C9/Benzylidene_Bis_Coumarin_CYP2C9_docked.pdbqt,True,,20.424067735671997
Acenocoumarol6,1OG5_chainA_protonated,-8.892,"[np.float64(-8.892), np.float64(-8.571), np.float64(-8.528), np.float64(-8.482), np.float64(-8.478), np.float64(-8.399), np.float64(-8.398), np.float64(-8.397), np.float64(-8.35), np.float64(-8.343), np.float64(-8.331), np.float64(-8.32), np.float64(-8.296), np.float64(-8.273), np.float64(-8.256), np.float64(-8.249), np.float64(-8.202), np.float64(-8.03), np.float64(-8.027), np.float64(-7.953)]",[],[],results/docked_poses/CYP2C9/Acenocoumarol6_CYP2C9_docked.pdbqt,True,,16.746906280517578
Warfarin1,1OG5_chainA_protonated,-8.568,"[np.float64(-8.568), np.float64(-8.457), np.float64(-8.422), np.float64(-8.352), np.float64(-8.35), np.float64(-8.271), np.float64(-8.253), np.float64(-8.228), np.float64(-8.197), np.float64(-8.177), np.float64(-8.171), np.float64(-8.158), np.float64(-8.14), np.float64(-8.122), np.float64(-8.117), np.float64(-8.114), np.float64(-8.053), np.float64(-7.989), np.float64(-7.954), np.float64(-7.928)]",[],[],results/docked_poses/CYP2C9/Warfarin1_CYP2C9_docked.pdbqt,True,,10.358701467514038
