ligand_name,target_name,best_affinity,all_affinities,rmsd_lb,rmsd_ub,docked_pdbqt,success,error,runtime_seconds
BENZ_S,1H9Z_chainA_protonated,-9.12,"[np.float64(-9.12), np.float64(-9.098), np.float64(-8.393), np.float64(-8.237), np.float64(-7.668), np.float64(-7.544), np.float64(-7.526), np.float64(-7.481), np.float64(-7.452), np.float64(-7.339), np.float64(-7.318), np.float64(-7.31), np.float64(-7.298), np.float64(-7.289), np.float64(-7.252), np.float64(-7.251), np.float64(-7.232), np.float64(-7.192), np.float64(-7.155), np.float64(-7.126)]",[],[],results/docked_poses/HSA/BENZ_S_HSA_docked.pdbqt,True,,10.1076819896698
m-nitro_S,1H9Z_chainA_protonated,-9.023,"[np.float64(-9.023), np.float64(-8.877), np.float64(-8.412), np.float64(-8.366), np.float64(-8.243), np.float64(-8.086), np.float64(-8.035), np.float64(-7.984), np.float64(-7.892), np.float64(-7.881), np.float64(-7.819), np.float64(-7.797), np.float64(-7.795), np.float64(-7.789), np.float64(-7.787), np.float64(-7.769), np.float64(-7.756), np.float64(-7.744), np.float64(-7.7), np.float64(-7.553)]",[],[],results/docked_poses/HSA/m-nitro_S_HSA_docked.pdbqt,True,,16.467342138290405
m-bromo_S,1H9Z_chainA_protonated,-8.937,"[np.float64(-8.937), np.float64(-8.454), np.float64(-8.307), np.float64(-8.257), np.float64(-8.139), np.float64(-8.103), np.float64(-7.963), np.float64(-7.773), np.float64(-7.711), np.float64(-7.684), np.float64(-7.679), np.float64(-7.661), np.float64(-7.625), np.float64(-7.593), np.float64(-7.591), np.float64(-7.44), np.float64(-7.435), np.float64(-7.423), np.float64(-7.417)]",[],[],results/docked_poses/HSA/m-bromo_S_HSA_docked.pdbqt,True,,10.405960321426392
S-Warfarin_ref,1H9Z_chainA_protonated,-8.753,"[np.float64(-8.753), np.float64(-8.07), np.float64(-7.961), np.float64(-7.593), np.float64(-7.576), np.float64(-7.388), np.float64(-7.365), np.float64(-7.277), np.float64(-7.248), np.float64(-7.247), np.float64(-7.239), np.float64(-7.237), np.float64(-7.217), np.float64(-7.155), np.float64(-7.102), np.float64(-7.066), np.float64(-6.989), np.float64(-6.95), np.float64(-6.892), np.float64(-6.811)]",[],[],results/docked_poses/HSA/S-Warfarin_ref_HSA_docked.pdbqt,True,,3.1767303943634033
R-Warfarin_ref,1H9Z_chainA_protonated,-8.486,"[np.float64(-8.486), np.float64(-7.844), np.float64(-7.68), np.float64(-7.525), np.float64(-7.358), np.float64(-7.271), np.float64(-7.229), np.float64(-7.199), np.float64(-7.199), np.float64(-7.103), np.float64(-7.067), np.float64(-7.013), np.float64(-6.93), np.float64(-6.791), np.float64(-6.787), np.float64(-6.779), np.float64(-6.76), np.float64(-6.687), np.float64(-6.666), np.float64(-6.618)]",[],[],results/docked_poses/HSA/R-Warfarin_ref_HSA_docked.pdbqt,True,,10.631302118301392
m-bromo_R,1H9Z_chainA_protonated,-8.022,"[np.float64(-8.022), np.float64(-7.892), np.float64(-7.802), np.float64(-7.799), np.float64(-7.73), np.float64(-7.553), np.float64(-7.544), np.float64(-7.514), np.float64(-7.505), np.float64(-7.464), np.float64(-7.435), np.float64(-7.426), np.float64(-7.411), np.float64(-7.375), np.float64(-7.33), np.float64(-7.311), np.float64(-7.239), np.float64(-7.191), np.float64(-7.134), np.float64(-7.105)]",[],[],results/docked_poses/HSA/m-bromo_R_HSA_docked.pdbqt,True,,11.096380233764648
m-nitro_R,1H9Z_chainA_protonated,-7.96,"[np.float64(-7.96), np.float64(-7.937), np.float64(-7.865), np.float64(-7.83), np.float64(-7.82), np.float64(-7.79), np.float64(-7.785), np.float64(-7.78), np.float64(-7.736), np.float64(-7.723), np.float64(-7.668), np.float64(-7.652), np.float64(-7.649), np.float64(-7.565), np.float64(-7.548), np.float64(-7.546), np.float64(-7.516), np.float64(-7.507), np.float64(-7.459), np.float64(-7.431)]",[],[],results/docked_poses/HSA/m-nitro_R_HSA_docked.pdbqt,True,,17.11535668373108
BENZ_R,1H9Z_chainA_protonated,-7.855,"[np.float64(-7.855), np.float64(-7.786), np.float64(-7.745), np.float64(-7.656), np.float64(-7.544), np.float64(-7.513), np.float64(-7.335), np.float64(-7.332), np.float64(-7.27), np.float64(-7.257), np.float64(-7.244), np.float64(-7.19), np.float64(-7.18), np.float64(-7.172), np.float64(-7.171), np.float64(-7.162), np.float64(-7.08), np.float64(-7.042), np.float64(-6.995), np.float64(-6.872)]",[],[],results/docked_poses/HSA/BENZ_R_HSA_docked.pdbqt,True,,17.888565063476562
