ligand_name,target_name,best_affinity,all_affinities,rmsd_lb,rmsd_ub,docked_pdbqt,success,error,runtime_seconds
Acenocoumarol6,7LCT_chainA_protonated,-6.473,"[np.float64(-6.473), np.float64(-6.379), np.float64(-5.838), np.float64(-5.774), np.float64(-5.722), np.float64(-5.541), np.float64(-5.388), np.float64(-5.344), np.float64(-5.318), np.float64(-5.291), np.float64(-5.216), np.float64(-5.186), np.float64(-5.15), np.float64(-5.132), np.float64(-5.129), np.float64(-5.126), np.float64(-5.116), np.float64(-5.084), np.float64(-5.032), np.float64(-5.01)]",[],[],results/docked_poses/VKORC1/Acenocoumarol6_VKORC1_docked.pdbqt,True,,14.273760080337524
Warfarin1,7LCT_chainA_protonated,-6.046,"[np.float64(-6.046), np.float64(-6.028), np.float64(-5.951), np.float64(-5.836), np.float64(-5.786), np.float64(-5.771), np.float64(-5.746), np.float64(-5.735), np.float64(-5.544), np.float64(-5.511), np.float64(-5.479), np.float64(-5.406), np.float64(-5.313), np.float64(-5.292), np.float64(-5.259), np.float64(-5.251), np.float64(-5.183), np.float64(-5.178), np.float64(-5.177), np.float64(-5.14)]",[],[],results/docked_poses/VKORC1/Warfarin1_VKORC1_docked.pdbqt,True,,7.574292898178101
