Task,n_test,n_train_labels,GAT_RMSE,GAT_MAE,GAT_R2,GAT_Spearman_rho,RF_RMSE,RF_R2,RF_Spearman_rho,VKORC1_only_GAT_R2
VKORC1,41,67.0,1.279,1.031,-0.38,0.213,0.924,0.28,0.548,0.018
Factor XIIa,222,1278.0,0.775,0.609,0.636,0.689,0.552,0.816,0.773,
Factor Xa,623,5794.0,1.093,0.847,0.557,0.751,0.948,0.667,0.812,
Thrombin,599,6542.0,0.961,0.716,0.598,0.7,0.849,0.686,0.768,
CYP2C9,720,4590.0,0.881,0.532,0.033,0.24,0.814,0.173,0.431,
HSA,5,51.0,5.666,4.524,-0.001,0.4,5.681,-0.007,0.7,
Pooled,2210,,1.001,0.697,0.602,,,,,
