Ligand,dG_kcal_mol,SMILES,Pred_VKORC1,Pred_Factor XIIa,Pred_Factor Xa,Pred_Thrombin,Pred_CYP2C9,Pred_HSA
RL_Gen_37,-12.244,[H]c1c([H])c([H])c([C@]([H])(c2c([H])c([H])c(F)c([H])c2[H])N2C([H])([H])C([H])([H])C3(C(=O)N(C([H])([H])C4([H])C([H])([H])C4([H])[H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],7.524,4.634,7.243,5.612,4.662,-6.191
RL_Gen_22,-11.545,[H]c1c([H])c([H])c([C@]2(C([H])([H])N([H])C(=O)c3c([H])c([H])c(F)c([H])c3Cl)C([H])([H])C([H])([H])[C@@]([H])(OC(=O)N([H])C([H])([H])C(F)(F)F)C([H])([H])C2([H])[H])c([H])c1[H],7.382,5.286,6.198,4.873,5.278,-3.391
RL_Gen_29_isoA,-11.419,O=C(O)/C=C(\C[C@](O)(Cn1cncn1)C(F)(F)F)c1ccc2ccccc2c1,7.846,4.059,4.967,5.296,4.951,-1.318
RL_Gen_45,-11.395,CCOc1ccccc1CC(=O)OC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,6.178,5.299,6.308,6.057,4.907,0.789
RL_Gen_49,-11.239,CC(O)(c1ccc(-c2ccccc2)nc1)c1cc2nccnc2cn1,7.038,4.879,6.337,5.325,5.13,-1.036
